Z,Element,PPM,PPM_Unc,WtPct,WtPct_Unc
1,H,19700,1970,1.97,0.197
3,Li,1.45,0.145,0.000145,0.0000145
4,Be,0.0219,0.001533,0.00000219,1.533E-07
5,B,0.775,0.0775,0.0000775,0.00000775
6,C,34800,3480,3.48,0.348
7,N,2950,442.5,0.295,0.04425
8,O,459000,45900,45.9,4.59
9,F,58.2,9.312,0.00582,0.0009312
11,Na,4962,446.58,0.4962,0.044658
12,Mg,95400,3816,9.54,0.3816
13,Al,8400,504,0.84,0.0504
14,Si,107000,3210,10.7,0.321
15,P,985,78.8,0.0985,0.00788
16,S,53500,2675,5.35,0.2675
17,Cl,698,104.7,0.0698,0.01047
19,K,546,49.14,0.0546,0.004914
20,Ca,9110,546.6,0.911,0.05466
21,Sc,5.81,0.3486,0.000581,0.00003486
22,Ti,447,31.29,0.0447,0.003129
23,V,54.6,3.276,0.00546,0.0003276
24,Cr,2623,131.15,0.2623,0.013115
25,Mn,1916,114.96,0.1916,0.011496
26,Fe,186600,7464,18.66,0.7464
27,Co,513,20.52,0.0513,0.002052
28,Ni,10910,763.7,1.091,0.07637
29,Cu,133,18.62,0.0133,0.001862
30,Zn,309,12.36,0.0309,0.001236
31,Ga,9.62,0.5772,0.000962,0.00005772
32,Ge,32.6,2.934,0.00326,0.0002934
33,As,1.74,0.1566,0.000174,0.00001566
34,Se,20.3,1.421,0.00203,0.0001421
35,Br,3.26,0.489,0.000326,0.0000489
37,Rb,2.32,0.1856,0.000232,0.00001856
38,Sr,7.79,0.5453,0.000779,0.00005453
39,Y,1.46,0.073,0.000146,0.0000073
40,Zr,3.63,0.1815,0.000363,0.00001815
41,Nb,0.283,0.0283,0.0000283,0.00000283
42,Mo,0.961,0.0961,0.0000961,0.00000961
44,Ru,0.69,0.0345,0.000069,0.00000345
45,Rh,0.132,0.0066,0.0000132,0.00000066
46,Pd,0.56,0.0224,0.000056,0.00000224
47,Ag,0.201,0.01809,0.0000201,0.000001809
48,Cd,0.674,0.04718,0.0000674,0.000004718
49,In,0.0778,0.00389,0.00000778,0.000000389
50,Sn,1.63,0.2445,0.000163,0.00002445
51,Sb,0.145,0.0203,0.0000145,0.00000203
52,Te,2.28,0.1596,0.000228,0.00001596
53,I,0.53,0.106,0.000053,0.0000106
55,Cs,0.188,0.01128,0.0000188,0.000001128
56,Ba,2.42,0.121,0.000242,0.0000121
57,La,0.2414,0.007242,0.00002414,7.242E-07
58,Ce,0.6194,0.018582,0.00006194,1.8582E-06
59,Pr,0.0939,0.002817,0.00000939,2.817E-07
60,Nd,0.4737,0.014211,0.00004737,1.4211E-06
62,Sm,0.1536,0.004608,0.00001536,4.608E-07
63,Eu,0.05883,0.0017649,0.000005883,1.7649E-07
64,Gd,0.2069,0.006207,0.00002069,6.207E-07
65,Tb,0.03797,0.0011391,0.000003797,1.1391E-07
66,Dy,0.2558,0.007674,0.00002558,7.674E-07
67,Ho,0.05644,0.0016932,0.000005644,1.6932E-07
68,Er,0.1655,0.004965,0.00001655,4.965E-07
69,Tm,0.02609,0.0007827,0.000002609,7.827E-08
70,Yb,0.1687,0.005061,0.00001687,5.061E-07
71,Lu,0.02503,0.0007509,0.000002503,7.509E-08
72,Hf,0.1065,0.003195,0.00001065,3.195E-07
73,Ta,0.015,0.0015,0.0000015,0.00000015
74,W,0.096,0.0096,0.0000096,0.00000096
75,Re,0.04,0.002,0.000004,0.0000002
76,Os,0.495,0.02475,0.0000495,0.000002475
77,Ir,0.469,0.02345,0.0000469,0.000002345
78,Pt,0.925,0.04625,0.0000925,0.000004625
79,Au,0.148,0.01776,0.0000148,0.000001776
80,Hg,0.35,0.175,0.000035,0.0000175
81,Tl,0.14,0.0154,0.000014,0.00000154
82,Pb,2.62,0.2096,0.000262,0.00002096
83,Bi,0.11,0.0099,0.000011,0.00000099
90,Th,0.03,0.0021,0.000003,0.00000021
92,U,0.0081,0.000567,0.00000081,5.67E-08
