X,sX,Y,sY,rXY
444683.4515,31838.07992,3358.520286,239.1870002,0.835374139
468159.7247,35024.59048,3552.505075,270.3163499,0.759379878
399777.8524,26361.58681,3008.96344,198.6081909,0.838724422
354071.3584,35574.40125,2675.701483,277.8564905,0.87891397
526646.1323,43102.05368,4069.025444,321.1918931,0.822358622
256181.2675,19965.74405,1922.146851,146.4996923,0.88323221
340617.9854,25161.01174,2614.314957,187.7144673,0.880385543
374269.9452,24209.82338,2788.792107,170.2832375,0.774362363
297771.0853,17410.17213,2232.461563,121.4527279,0.718160269
337569.8959,20573.73907,2578.657052,149.5690633,0.838796701
379441.0689,25961.32082,2884.651186,204.0884156,0.826090159
326815.5655,21121.83117,2492.692693,160.2188879,0.802442495
532663.7464,40870.70118,4045.09278,297.8104658,0.788534926
543953.6796,41051.52116,4183.402516,313.6881528,0.722380221
377078.6224,23051.7315,2850.174673,163.3281677,0.774862383
580400.3842,46678.3499,4382.890537,339.8640494,0.767263052
466084.1645,34123.10598,3539.896719,269.6533223,0.680844946
390127.7979,40683.79307,3004.673108,305.1012706,0.947529246
370962.069,23798.72163,2824.267504,174.2636637,0.842663482
456064.065,32385.15126,3421.959131,231.4270081,0.665647857
