Sample,Analysis,Rb87_Sr86,Rb87_Sr86_2SE,Sr87_Sr86,Sr87_Sr86_2SE,RhoRb87_Sr86_Sr87_Sr86,Rb87_Sr87,Rb87_Sr87_2SE,Sr86_Sr87,Sr86_Sr87_2SE,RhoRb87_Sr87_Sr86_Sr87
G26954m,G26954m-001,711726.1244,50540.17244,25596.36718,1848.17057,0.88382651,27.8079759,0.696482747,3.91E-05,2.91E-06,0.032247473
G26954m,G26954m-002,388655.2557,35344.82081,14314.22057,1227.922357,0.925110521,27.22733672,0.68152085,6.98E-05,6.44E-06,-0.696842728
G26954m,G26954m-003,996713.7356,95205.99053,36683.0672,3591.212612,0.891709555,27.12597685,0.670045063,2.73E-05,2.53E-06,-0.287992524
G26954m,G26954m-004,802463.8852,54890.55509,29937.29434,2115.228483,0.839444675,26.94390559,0.673791013,3.33E-05,3.27E-06,-0.30574859
G26954m,G26954m-005,811958.0055,60049.19019,29826.09497,2438.528969,0.8159679,27.19716715,0.664476914,3.36E-05,3.65E-06,-0.11910566
G26954m,G26954m-006,760436.0042,50583.55009,27351.02318,1852.682056,0.755764156,27.71921301,0.68974306,3.66E-05,2.54E-06,0.005435154
G26954m,G26954m-007,490671.0523,28274.91946,17380.93948,1018.583746,0.771703077,28.15070532,0.691437254,5.77E-05,4.41E-06,-0.106558706
G26954m,G26954m-008,1007209.033,131367.0407,36431.04372,5022.131312,0.901331013,27.69555189,0.67203428,2.74E-05,2.82E-06,-0.16607312
G26954m,G26954m-009,1051090.005,79761.49118,38342.33832,3317.486849,0.926865525,27.38532412,0.66487174,2.61E-05,2.00E-06,0.069876604
G26954m,G26954m-010,836833.4204,63326.05672,30747.15067,2441.967956,0.85354688,27.30807277,0.676546055,3.25E-05,3.03E-06,-0.361418155
G26954m,G26954m-011,353116.4986,23134.68241,12856.53219,786.3546574,0.905238184,27.46479668,0.698279219,7.78E-05,7.41E-06,-0.441265206
G26954m,G26954m-012,485691.2495,26934.95019,17850.42913,911.7201066,0.754863426,27.12814193,0.679025972,5.62E-05,2.85E-06,-0.124601044
G26954m,G26954m-013,688572.4014,61285.41433,25622.30334,2173.736472,0.894936316,27.09491791,0.687271326,3.89E-05,4.21E-06,-0.373371877
G26954m,G26954m-014,624935.5192,40999.1629,22779.16715,1558.952665,0.788377451,27.44900611,0.689798232,4.39E-05,3.43E-06,-0.255515382
G26954m,G26954m-015,731111.704,48029.3303,26370.61797,1873.849413,0.717352125,27.65622687,0.692386646,3.80E-05,3.01E-06,0.054162963
G26954m,G26954m-016,856044.6232,59802.10045,31339.89934,2292.328413,0.793589479,27.388262,0.668094886,3.19E-05,2.43E-06,-0.200811156
G26954m,G26954m-017,826485.9489,56210.3485,29804.19243,2049.663373,0.784420312,27.61124056,0.674815788,3.37E-05,2.65E-06,0.314272557
G26954m,G26954m-018,830504.9422,61622.7251,29992.73214,2357.158769,0.831270253,27.73175217,0.670913766,3.33E-05,2.69E-06,-0.191638145
G26954m,G26954m-019,616534.8796,43628.75037,21836.15457,1803.282129,0.768417246,28.17858099,0.700201733,4.59E-05,3.64E-06,0.010836104
G26954m,G26954m-020,605223.311,53261.73139,21208.92861,1977.132308,0.926196439,28.50406481,0.718432196,4.72E-05,4.41E-06,0.365804342
