z,element_name,element_symbol,std_element_mass_lower,std_element_mass_upper,std_element_mass_uncert,element_mass_abridged,abriged_uncert,geological_variation
1,hydrogen,H,1.00784,1.00811,,1.008,0.0002,FALSE
2,helium,He,4.002602,4.002602,0.000002,4.0026,0.0001,TRUE
3,lithium,Li,6.938,6.997,,6.94,0.06,FALSE
4,beryllium,Be,9.0121831,9.0121831,0.0000005,9.0122,0.0001,FALSE
5,boron,B,10.806,10.821,,10.81,0.02,FALSE
6,carbon,C,12.0096,12.0116,,12.011,0.002,FALSE
7,nitrogen,N,14.00643,14.00728,,14.007,0.001,FALSE
8,oxygen,O,15.99903,15.99977,,15.999,0.001,FALSE
9,fluorine,F,18.99840316,18.99840316,5.00E-10,18.998,0.001,FALSE
10,neon,Ne,20.1797,20.1797,0.0006,20.18,0.001,TRUE
11,sodium,Na,22.98976928,22.98976928,0.00000002,22.99,0.001,FALSE
12,magnesium,Mg,24.304,24.307,,24.305,0.002,FALSE
13,aluminum,Al,26.9815384,26.9815384,0.0000003,26.982,0.001,FALSE
14,silicon,Si,28.084,28.086,,28.085,0.001,FALSE
15,phosphorus,P,30.973762,30.973762,0.000000005,30.974,0.001,FALSE
16,sulfur,S,32.059,32.076,,32.06,0.02,FALSE
17,chlorine,Cl,35.446,35.457,,35.45,0.01,FALSE
18,argon,Ar,39.792,39.963,,39.95,0.16,FALSE
19,potassium,K,39.0983,39.0983,0.0001,39.098,0.001,FALSE
20,calcium,Ca,40.078,40.078,0.004,40.078,0.004,TRUE
21,scandium,Sc,44.955907,44.955907,0.000004,44.956,0.001,FALSE
22,titanium,Ti,47.867,47.867,0.001,47.867,0.001,FALSE
23,vanadium,V,50.9415,50.9415,0.0001,50.942,0.001,FALSE
24,chromium,Cr,51.9961,51.9961,0.0006,51.996,0.001,FALSE
25,manganese,Mn,54.938043,54.938043,0.000002,54.938,0.001,FALSE
26,iron,Fe,55.845,55.845,0.002,55.845,0.002,FALSE
27,cobalt,Co,58.933194,58.933194,0.0000003,58.933,0.001,FALSE
28,nickel,Ni,58.6934,58.6934,0.0004,58.693,0.001,FALSE
29,copper,Cu,63.546,63.546,0.003,63.546,0.003,FALSE
30,zinc,Zn,65.38,65.38,0.02,65.38,0.02,FALSE
31,gallium,Ga,69.723,69.723,0.001,69.723,0.001,FALSE
32,germanium,Ge,72.63,72.63,0.08,72.63,0.008,FALSE
33,arsenic,As,74.921595,74.921595,0.000006,74.922,0.001,FALSE
34,selenium,Se,78.971,78.971,0.008,78.971,0.008,FALSE
35,bromine,Br,79.901,79.907,,79.904,0.003,FALSE
36,krypton,Kr,83.798,83.798,0.002,83.798,0.002,TRUE
37,rubidium,Rb,85.4678,85.4678,0.0003,85.468,0.001,TRUE
38,strontium,Sr,87.62,87.62,0.01,87.62,0.01,TRUE
39,yttrium,Y,88.905838,88.905838,0.000002,88.906,0.001,FALSE
40,zirconium,Zr,91.224,91.224,0.002,91.224,0.002,TRUE
41,niobium,Nb,92.90637,92.90637,0.00001,92.906,0.001,FALSE
42,molybdenum,Mo,95.95,95.95,0.01,95.95,0.01,TRUE
44,ruthenium,Ru,101.07,101.07,0.02,101.07,0.02,TRUE
45,rhodium,Rh,102.90549,102.90549,0.00002,102.91,0.01,FALSE
46,palladium,Pd,106.42,106.42,0.01,106.42,0.01,TRUE
47,silver,Ag,107.8682,107.8682,0.0002,107.87,0.01,TRUE
48,cadmium,Cd,112.414,112.414,0.004,112.41,0.01,TRUE
49,indium,In,114.818,114.818,0.001,114.82,0.01,FALSE
50,tin,Sn,118.71,118.71,0.07,118.71,0.01,TRUE
51,antimony,Sb,121.76,121.76,0.01,121.76,0.01,TRUE
52,tellurium,Te,127.6,127.6,0.3,127.6,0.03,TRUE
53,iodine,I,126.90447,126.90447,0.00003,126.9,0.01,FALSE
54,xenon,Xe,131.293,131.293,0.006,131.29,0.01,TRUE
55,cesium,Cs,132.905452,132.905452,0.00000006,132.91,0.01,FALSE
56,barium,Ba,137.327,137.327,0.007,137.33,0.01,FALSE
57,lanthanum,La,138.90547,138.90547,0.00007,138.91,0.01,TRUE
58,cerium,Ce,140.116,140.116,0.001,140.12,0.01,TRUE
59,praseodymium,Pr,140.90766,140.90766,0.00001,140.91,0.01,FALSE
60,neodymium,Nd,144.242,144.242,0.003,144.24,0.01,TRUE
62,samarium,Sm,150.36,150.36,0.02,150.36,0.02,TRUE
63,europium,Eu,151.964,151.964,0.001,151.96,0.01,TRUE
64,gadolinium,Gd,157.25,157.25,0.03,157.25,0.03,TRUE
65,terbium,Tb,158.925354,158.925354,0.000007,158.93,0.01,FALSE
66,dysprosium,Dy,162.5,162.5,0.1,162.5,0.01,TRUE
67,holmium,Ho,164.930329,164.930329,0.000005,164.93,0.01,FALSE
68,erbium,Er,167.259,167.259,0.003,167.26,0.01,TRUE
69,thulium,Tm,168.934219,168.934219,0.000005,168.93,0.01,FALSE
70,ytterbium,Yb,173.045,173.045,0.01,173.05,0.02,TRUE
71,lutetium,Lu,174.9668,174.9668,0.0001,174.97,0.01,TRUE
72,hafnium,Hf,178.486,178.486,0.006,178.49,0.01,TRUE
73,tantalum,Ta,180.94788,180.94788,0.00002,180.95,0.01,FALSE
74,tungsten,W,183.84,183.84,0.01,183.84,0.01,FALSE
75,rhenium,Re,186.207,186.207,0.001,186.21,0.01,FALSE
76,osmium,Os,190.23,190.23,0.03,190.23,0.03,TRUE
77,iridium,Ir,192.217,192.217,0.002,192.22,0.01,FALSE
78,platinum,Pt,195.084,195.084,0.009,195.08,0.02,FALSE
79,gold,Au,196.96657,196.96657,0.00004,196.97,0.01,FALSE
80,mercury,Hg,200.592,200.592,0.003,200.59,0.01,FALSE
81,thallium,Tl,204.382,204.385,,204.38,0.01,FALSE
82,lead,Pb,206.14,207.94,,207.2,1.1,FALSE
83,bismuth,Bi,208.9804,208.9804,0.0001,208.98,0.01,FALSE
90,thorium,Th,232.0377,232.0377,0.0004,232.04,0.01,TRUE
91,protactinium,Pa,231.03588,231.03588,0.00001,231.04,0.01,FALSE
92,uranium,U,238.02891,238.02891,0.00003,238.03,0.01,TRUE
